"","","","","","","","KOik","sT","ன
்  சேதங் கள்","fl;likg;Gf;fs;","","f   No.","","",""
"District
Division","Families","People","","People","g","","","","","","","","s;","Persons",""
"","","","","","","","Fully","Partiall","Small, Medium,","","Damages to","of Safety","","",""
"","","","","","People","","","","","","","","Families","",""
"","","","","","","","","y","Enterprises","","critical","Location","","",""
"","","","","","","","","","Damages","Infrastructure","","s","","",""
"බදුල්ල      
Haldummulla","2020.02.14
1","6","","","","","","1","","","","1","","1","6 Haldummulla Community Hall"
"ඌව","","","","","","","","","","","","","","",""
"1
gJs;is     
High Wind","","","","","","","","","","","","","","",""
"Cth khfhzk;","","","","","","","","","","","","","","",""
"Passara
Badulla","2020.02.23/24
2","7","","","","","","2","","","","","","",""
"Uva","","","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","3","13","0","0","","0","0","3","","0","0","1","","1","6"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","3","13","0","0","","0","0","3","","0","0","1","","1","6"
"Ruwanwella
Drought","2020.01.17
220","900","","","","","","","","","","","","","Distribution of drinking water"
"Rock Falling Risk","2020.03.02
1","6","","","","","","","","","","","","",""
"Bulathkohupitiya","","","","","","","","","","","","","","",""
"","2020.02.10
61","277","","","","","","","","","","","","",""
"කෑගල්ල","","","","","","","","","","","","","","",""
"Deraniyagala
2
Nffhiy","2020.02.06
225","960","","","","","","","","","","","","",""
"Kegalle
Galigamuwa","2020.02.13
75","312","","","","","","","","","","","","",""
"Drought","","","","","","","","","","","","","","","Distribution of drinking water"
"සබරගමුව පලොත 
Kegalle","2020.03.02
600","1800","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","",""
"Aranayaka","2020.03.01
1042","4020","","","","","","","","","","","","",""
"Sabaragamuwa","","","","","","","","","","","","","","",""
"Warakapola","2020.02.20
287","1248","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","2511","9523","0","0","","0","0","0","","0","0","0","","0","0"
"Eheliyagoda
රත්නපුර","2020.02.07
1921","7959","","","","","","","","","","","","",""
"3
Drought
Kolonna
,uj;jpdGhp","2020.02.20
312","931","","","","","","","","","","","","",""
"Rathnapura
Rathnapura","2020.03.01
305","1155","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","2538","10045","0","0","","0","0","0","","0","0","0","","0","0"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","5049","19568","0","0","","0","0","0","","0","0","0","","0","0"
"මහනුවර","","","","","","","","","","","","","","",""
"4
Akurana
Drought
fz;b","2020.02.11
350","1213","","","","","","","","","","","","",""
"Kandy","","","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total
මධ්‍යම පලොත","350","1213","0","0","","0","0","0","","0","0","0","","0","0"
"kj;jpa khfhzk; 
නුවරඑලිය 
Ambagamuwa","2020.02.16
8","32","","","","","8","","","","","1","","8","32 Primary Government Dispensary"
"5
Fire
Central
Etnuypah","","","","","","","","","","","","","","",""
"Nuwara Eliya","2020.02.20
6","37","","","","","1","","","","","1","","6","37 Dayagama East Day Care Centre"
"Nuwara Eliya","","","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","14","69","0","0","","0","9","0","","0","0","2","","14","69"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","364","1282","0","0","","0","9","0","","0","0","2","","14","69"
"Kalutara","19776","78359","","","","","","","","","","","","",""
"Beruwala
Dissolving salts","22527","103665","","","","","","","","","","","","",""
"in drinking water
Panadura
කළුතර","3604","17040","","","","","","","","","","","","",""
"6
fSj;Jiw   
Dodangoda","2020.01.20
4545","13664","","","","","","","","","","","","","Distribution of drinking water"
"Kalutara
Millaniya","480","1800","","","","","","","","","","","","",""
"බස්නොහිර පලොත 
Drought
Mathugama","63","217","","","","","","","","","","","","",""
"Nky; khfhzk","","","","","","","","","","","","","","",""
"Horana","180","780","","","","","","","","","","","","",""
"Western","","","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","51175","215525","0","0","","0","0","0","","0","0","0","","0","0"
"ගම්පහ      
Diwulapitiya","2020.02.24
1249","4031","","","","","","","","","","","","",""
"7
Drought
fk;g`h","","","","","","","","","","","","","","",""
"Katana
Gampaha","2020.03.03
377","1119","","","","","","","","","","","","",""
"දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total","1626","5150","0","0","","0","0","0","","0","0","0","","0","0"
"පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","52801","220675","0","0","","0","0","0","","0","0","0","","0","0"
